Size	Run	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Node:28	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27	Seq:28	
10	0	2790886	1116518	808786	720702	673847	733708	842715	1034802	1828505	4241992																			45036594	12815488	7808017	6172195	4736705	4788854	5160411	5847413	9270271	83931175																		
10	1	2573716	1112153	770011	640598	638761	685899	803454	1048563	1745647	4478992																			40752557	12921215	7140812	5009498	4609131	4614541	4893848	5944875	8985800	85387993																		
10	2	2692637	1124791	788783	689974	664798	681539	822568	1044306	1794392	4358305																			43985618	12845849	7761550	5608579	4803924	4380100	5039523	5837626	9218510	84639159																		
10	3	2764770	1144151	768196	677720	681125	768405	853233	1099514	1863788	4192371																			43002948	13256918	7076462	5296123	4706128	5196697	5322292	6137983	9420713	83883370																		
10	4	2470425	1061307	743511	653410	601017	667452	785650	976886	1699981	4650053																			40608941	12389081	7119090	5314666	4239429	4464193	4877432	5455621	8863922	86359743																		
10	5	2683105	1115131	751495	677340	655718	710016	820591	1051371	1854416	4330123																			42863132	13307046	6832364	5202937	4681377	4749210	5052339	5864948	9524774	84578296																		
10	6	2744518	1101089	765797	674619	653416	722380	815325	1069419	1870388	4296540																			44899799	12435646	6906764	5343926	4557261	4906096	4924431	6091786	9500140	84515556																		
10	7	2339991	1241770	790068	710619	695857	708979	804611	1123130	1566528	4474480																			38628622	14471935	7709267	6096151	5009869	4702683	4875342	6162425	8122933	85164635																		
10	8	2465465	1216565	861750	716345	707163	677920	813940	1060673	1675441	4374742																			40670692	14537761	8604664	5769372	5331883	4338267	4965011	5996938	8710322	84428062																		
10	9	2637359	1097835	804095	686176	676047	683615	814130	1018775	1822890	4360379																			45453553	12596164	7529280	5943973	4876308	4345592	5176985	5560730	9535052	84553240																		
10	10	2837744	1187739	798329	719069	714153	774357	880638	1108957	1819672	4104730																			44909843	14228182	7446462	5836980	5161108	4992464	5407425	6330003	9042561	83190028																		
10	11	2587135	1044961	756570	675513	667642	649909	753416	961910	1739600	4595331																			40033421	11738390	7226991	5810029	4929435	4396672	4555683	5295675	8897700	86190862																		
10	12	2609391	1077592	727559	660074	652637	679973	760836	998607	1790651	4524609																			41009634	12422580	6343649	5346015	4750501	4502452	4603260	5571706	9299015	85742633																		
10	13	2761287	1177949	802428	721895	737219	725449	791810	1096475	1804173	4194894																			44875745	13522858	7514395	6017306	5529758	4733640	4577028	6200252	9100185	83717103																		
10	14	2890339	1104933	769395	662423	668279	729185	841184	1112230	1935214	4171243																			44917250	12495629	7037083	5045693	4667539	4877968	5108919	6339957	9787262	83902321																		
10	15	2269254	1096870	767222	665608	632623	702909	748277	973998	1569798	4759535																			37836404	12739464	7237588	5691738	4635340	4783646	4454528	5266534	8105431	87147609																		
10	16	2371906	1170621	784002	697214	625415	719288	814960	1063822	1584155	4563018																			38912337	13507786	7618310	5952796	4524755	4764130	5090308	6125602	7895420	85816966																		
10	17	2664939	1215485	802838	698919	701089	759334	864502	1112015	1767957	4220157																			41367484	14493497	7884132	5637088	5016322	4915590	5302160	6367585	8870728	83852193																		
10	18	2683512	1122020	793464	699867	677393	735184	838862	1032232	1790723	4340632																			42083313	13179956	7530302	5698205	4858325	4936931	5096774	5807214	9090109	84604628																		
10	19	2937545	1120152	822389	732174	712316	751721	847956	1084714	1921433	4071745																			47701836	13211092	7694885	6110181	5111258	4939322	5117068	6121944	9614901	83133346																		
11	0	2578122	1149974	829380	699447	645574	660269	721133	815816	1019674	1686363	4116706																		41467648	13500870	8595597	6633328	4786428	4483781	4629228	4966973	5484510	8661033	83153513																	
11	1	3047527	1083561	760405	670579	617828	621471	689079	792023	1066105	1927383	3938421																		49131475	12131892	7480319	5634825	4642811	4240000	4386992	4571147	5945939	9755270	82428817																	
11	2	2582519	1141468	802602	636729	613389	623565	678005	804913	1016845	1664126	4264241																		42182344	13436763	8407235	5373486	4693858	4337026	4285651	4849696	5537962	8268991	84417688																	
11	3	2580319	1167200	766239	632151	609482	595667	645451	790347	1017840	1689645	4309440																		42303512	13774550	7547742	5636342	4617182	4072152	4078617	4730063	5566463	8558763	84550351																	
11	4	2754360	1082898	741495	618001	597102	607489	678728	788020	1006997	1804300	4204156																		45318072	12865327	7459850	5107128	4512464	4179869	4433373	4732212	5486623	9253110	83849777																	
11	5	2912071	1122396	761645	667482	621956	626054	678664	798927	1047964	1903140	4013586																		48143228	13748239	7324641	5569384	4639588	4347138	4332955	4868858	5722614	9664538	82895161																	
11	6	2854669	1079303	750301	634430	609601	609380	663149	797460	1055318	1894308	4068126																		46718165	12193899	7548890	5157553	4629223	4191468	4286137	4749676	5828575	9852555	83055349																	
11	7	2930087	1119241	782252	634736	617530	641035	703603	830693	1095797	1854825	3965598																		44746383	13476884	7993781	5315521	4516289	4328431	4520829	4919207	6165192	9161323	82689704																	
11	8	2678221	1099936	783718	648976	616264	587273	630988	773044	994506	1789146	4242092																		45878062	12589924	7518880	5522726	5095121	4038854	3930242	4621739	5430745	9146351	84176463																	
11	9	2715410	1102016	784527	632750	609072	595745	683965	774147	978445	1774684	4219136																		44334150	12970347	8116108	5399272	4762711	3881293	4429264	4629186	5400544	8971288	83999850																	
11	10	2733488	1095833	731946	615586	570570	593500	684221	775423	1034640	1788067	4249280																		43939511	13312799	6979736	5150127	4187814	4033835	4564375	4595618	5756215	9133325	84229589																	
11	11	2659847	1130952	731982	630305	603521	619512	664157	765568	1001916	1735816	4266633																		42927112	13547315	7353507	5376839	4604141	4265774	4322237	4623338	5625084	8861965	84173859																	
11	12	2578832	1183900	756474	613736	561378	591221	664536	820561	1089357	1670537	4282410																		43940258	13795867	7686359	4986448	3979861	4119652	4238796	5016786	6113894	8589057	84332542																	
11	13	2442184	1129788	836200	689153	594345	619743	698459	786932	974147	1635605	4335393																		40438821	13731080	8844924	6342120	4464546	4196882	4503003	4677703	5409345	8160221	84690189																	
11	14	2407249	1222936	842304	660051	616279	657583	726400	885094	1063863	1575389	4183671																		39595966	14408006	9195485	5534909	4570922	4448415	4661075	5422901	5795445	8127345	83576640																	
11	15	2622498	1102090	793212	643503	611345	628978	674627	814627	1008595	1701194	4265693																		42357388	13292243	8519630	5363160	4638078	4375187	4257498	4859230	5616854	8443563	84370402																	
11	16	2998125	1161890	783372	654275	647326	657217	693613	818031	1043673	1909395	3901342																		46431884	13921167	7745594	5444585	4796485	4487562	4355388	4845658	5806351	9500429	82323849																	
11	17	2800255	1159880	775431	662535	628363	634630	675841	780221	1072081	1761746	4089745																		45775063	13504141	7525336	5850457	4706786	4412351	4292689	4496821	5870937	9114071	83092040																	
11	18	2884939	1129449	790032	652699	618493	634829	679936	829530	1023369	1860008	4003122																		45955103	13594880	7681853	5660826	4516273	4464643	4198469	5046731	5564879	9383481	82758758																	
11	19	2573851	1182791	750950	643045	611102	632496	680466	815580	1087002	1643732	4212697																		40599568	14258700	7139061	5404143	4554644	4390584	4355386	4871424	6049201	8225648	83957886																	
12	0	2244168	1351387	799643	614597	565341	548271	577500	664793	804190	1087192	1401647	4227006																	36603234	17322931	8459625	5288090	4325013	3892601	3761268	4185625	4770685	5860674	6916183	84103493																
12	1	2432715	1167569	752686	626850	533593	552335	559060	636241	733883	991068	1601698	4265908																	39157511	14482038	7495657	6205305	4231471	4026761	3599385	4051800	4288167	5400699	7964153	84455021																
12	2	2625912	1133414	790024	599939	540678	554046	574628	650331	759683	999216	1722887	4095820																	42557236	13781894	8640129	5346152	4262101	3938374	3849233	4104403	4479483	5524773	8518355	83502328																
12	3	3020843	1149919	772544	650481	590946	574163	605565	679537	799131	1035424	1877232	3748432																	51518819	14724969	7871502	5768585	4567614	4086603	3969587	4151753	4646086	5696274	9285891	81507858																
12	4	2701606	1092312	750285	642757	576767	562491	566912	635530	743309	964669	1756922	4072355																	46777222	13167691	7588296	6137032	4573951	4112341	3933586	3926810	4374989	5214951	8927758	83201553																
12	5	2481567	1207347	840395	640153	607674	581171	594751	663696	771193	1030094	1573846	4061371																	40590134	15139043	9060705	5997145	4693097	4292486	3847526	4165302	4370448	5557212	7985152	83016467																
12	6	2544804	1110249	749301	593758	549483	547621	583468	638206	753973	1013953	1628379	4198362																	42709284	13322134	8011221	5150401	4306123	3955121	3917948	4043743	4304549	5587301	8351248	83941305																
12	7	2635953	1171808	795025	647552	561597	556721	607216	674957	777715	1002478	1680214	4024089																	42849894	14028797	8880012	5791922	4416369	3798395	4043877	4225429	4540163	5473304	8551933	82868796																
12	8	2315732	1278893	781559	641445	561909	562560	584874	665414	790388	1036860	1472827	4197591																	38733599	16970662	8077998	5634301	4447995	3936620	3822091	4213391	4657649	5601616	7525918	83692743																
12	9	2514948	1134136	786871	644681	568468	579425	594446	654360	771383	980972	1678027	4100070																	39247816	14013673	8535679	6253103	4463047	4210026	4017489	3997517	4565469	5392964	8528350	83245241																
12	10	2761232	1128506	766289	654369	574391	597466	588115	655747	759735	997629	1757444	3958474																	46663330	13681436	7731744	6430319	4354201	4480206	3860155	4038103	4399511	5441703	8983951	82400758																
12	11	2944559	1084409	710443	628383	574581	537746	592492	666866	762168	1021953	1861753	3905158																	50705942	13085888	7029140	5444443	4766141	3671206	4016629	4212761	4389923	5558805	9394932	82320917																
12	12	2661315	1144907	797968	637466	560342	549310	602370	664717	764668	956242	1687122	4074774																	44803961	13666968	8678703	5955058	4536701	3808481	4042398	4141451	4512862	5166049	8605353	83090882																
12	13	2766206	1109088	743977	653646	585875	555997	575181	618222	742691	1000399	1775745	4024894																	46406556	14005797	7342128	5959106	4875345	3941246	3886933	3830312	4253846	5503528	8970170	82937714																
