Annotation	Freq	Accession	Assembly	Annotation2
Centromere	11	22006	Chromosome scaffolds	centromere
Transposable element	2	22006	Chromosome scaffolds	ClassI_LTR
Transposable element	1	22006	Chromosome scaffolds	ClassII_Helitrons
Telomere	8	22006	Chromosome scaffolds	telomere
None	6	22006	Chromosome scaffolds	NA
45S rDNA	2	22007	Chromosome scaffolds	45S
5S rDNA	5	22007	Chromosome scaffolds	5S
Centromere	10	22007	Chromosome scaffolds	centromere
Telomere	8	22007	Chromosome scaffolds	telomere
None	7	22007	Chromosome scaffolds	NA
45S rDNA	17	1741	Unplaced contigs	45S
5S rDNA	12	1741	Unplaced contigs	5S
Centromere	75	1741	Unplaced contigs	centromere
Plastid	6	1741	Unplaced contigs	chloroplast
Transposable element	5	1741	Unplaced contigs	ClassI_LTR
Transposable element	2	1741	Unplaced contigs	ClassII_Helitrons
Mitochondria	8	1741	Unplaced contigs	mitochondria
Telomere	1	1741	Unplaced contigs	telomere
None	2	1741	Unplaced contigs	NA
45S rDNA	16	6024	Unplaced contigs	45S
5S rDNA	4	6024	Unplaced contigs	5S
Centromere	62	6024	Unplaced contigs	centromere
Plastid	8	6024	Unplaced contigs	chloroplast
Transposable element	5	6024	Unplaced contigs	ClassI_LTR
Transposable element	3	6024	Unplaced contigs	ClassII_TIR
Mitochondria	4	6024	Unplaced contigs	mitochondria
Other repeat	2	6024	Unplaced contigs	repeat_region
Telomere	6	6024	Unplaced contigs	telomere
None	6	6024	Unplaced contigs	NA
45S rDNA	13	6069	Unplaced contigs	45S
Centromere	90	6069	Unplaced contigs	centromere
Plastid	5	6069	Unplaced contigs	chloroplast
Transposable element	4	6069	Unplaced contigs	ClassI_LTR
Transposable element	1	6069	Unplaced contigs	ClassII_Helitrons
Transposable element	9	6069	Unplaced contigs	ClassII_TIR
Mitochondria	5	6069	Unplaced contigs	mitochondria
Other repeat	1	6069	Unplaced contigs	repeat_region
Telomere	3	6069	Unplaced contigs	telomere
None	57	6069	Unplaced contigs	NA
45S rDNA	43	6124	Unplaced contigs	45S
5S rDNA	10	6124	Unplaced contigs	5S
Centromere	68	6124	Unplaced contigs	centromere
Plastid	4	6124	Unplaced contigs	chloroplast
Transposable element	6	6124	Unplaced contigs	ClassI_LTR
Transposable element	1	6124	Unplaced contigs	ClassII_Helitrons
Transposable element	1	6124	Unplaced contigs	ClassII_TIR
Mitochondria	4	6124	Unplaced contigs	mitochondria
Telomere	3	6124	Unplaced contigs	telomere
None	10	6124	Unplaced contigs	NA
45S rDNA	28	6244	Unplaced contigs	45S
5S rDNA	13	6244	Unplaced contigs	5S
Centromere	91	6244	Unplaced contigs	centromere
Plastid	3	6244	Unplaced contigs	chloroplast
Transposable element	14	6244	Unplaced contigs	ClassI_LTR
Transposable element	2	6244	Unplaced contigs	ClassII_Helitrons
Transposable element	3	6244	Unplaced contigs	ClassII_TIR
Mitochondria	4	6244	Unplaced contigs	mitochondria
Telomere	3	6244	Unplaced contigs	telomere
None	3	6244	Unplaced contigs	NA
45S rDNA	25	6909	Unplaced contigs	45S
5S rDNA	10	6909	Unplaced contigs	5S
Centromere	43	6909	Unplaced contigs	centromere
Plastid	4	6909	Unplaced contigs	chloroplast
Transposable element	2	6909	Unplaced contigs	ClassI_LTR
Mitochondria	12	6909	Unplaced contigs	mitochondria
Telomere	6	6909	Unplaced contigs	telomere
None	38	6909	Unplaced contigs	NA
45S rDNA	15	6966	Unplaced contigs	45S
5S rDNA	14	6966	Unplaced contigs	5S
Centromere	53	6966	Unplaced contigs	centromere
Plastid	12	6966	Unplaced contigs	chloroplast
Transposable element	6	6966	Unplaced contigs	ClassI_LTR
Transposable element	2	6966	Unplaced contigs	ClassII_TIR
Mitochondria	16	6966	Unplaced contigs	mitochondria
Other repeat	1	6966	Unplaced contigs	repeat_region
Telomere	2	6966	Unplaced contigs	telomere
None	13	6966	Unplaced contigs	NA
45S rDNA	39	8236	Unplaced contigs	45S
5S rDNA	2	8236	Unplaced contigs	5S
Centromere	92	8236	Unplaced contigs	centromere
Plastid	4	8236	Unplaced contigs	chloroplast
Transposable element	5	8236	Unplaced contigs	ClassI_LTR
Mitochondria	6	8236	Unplaced contigs	mitochondria
Telomere	4	8236	Unplaced contigs	telomere
None	8	8236	Unplaced contigs	NA
45S rDNA	18	9075	Unplaced contigs	45S
5S rDNA	8	9075	Unplaced contigs	5S
Centromere	74	9075	Unplaced contigs	centromere
Plastid	1	9075	Unplaced contigs	chloroplast
Transposable element	8	9075	Unplaced contigs	ClassI_LTR
Transposable element	1	9075	Unplaced contigs	ClassII_Helitrons
Transposable element	3	9075	Unplaced contigs	ClassII_TIR
Mitochondria	8	9075	Unplaced contigs	mitochondria
Other repeat	2	9075	Unplaced contigs	repeat_region
Telomere	3	9075	Unplaced contigs	telomere
None	14	9075	Unplaced contigs	NA
45S rDNA	13	9537	Unplaced contigs	45S
5S rDNA	9	9537	Unplaced contigs	5S
Centromere	59	9537	Unplaced contigs	centromere
Plastid	3	9537	Unplaced contigs	chloroplast
Transposable element	2	9537	Unplaced contigs	ClassI_LTR
Transposable element	1	9537	Unplaced contigs	ClassII_TIR
Mitochondria	6	9537	Unplaced contigs	mitochondria
Telomere	8	9537	Unplaced contigs	telomere
None	15	9537	Unplaced contigs	NA
45S rDNA	22	9543	Unplaced contigs	45S
5S rDNA	27	9543	Unplaced contigs	5S
Centromere	90	9543	Unplaced contigs	centromere
Plastid	6	9543	Unplaced contigs	chloroplast
Transposable element	1	9543	Unplaced contigs	ClassI_LTR
Transposable element	1	9543	Unplaced contigs	ClassII_Helitrons
Transposable element	1	9543	Unplaced contigs	ClassII_TIR
Mitochondria	4	9543	Unplaced contigs	mitochondria
Telomere	4	9543	Unplaced contigs	telomere
None	8	9543	Unplaced contigs	NA
45S rDNA	50	9638	Unplaced contigs	45S
5S rDNA	15	9638	Unplaced contigs	5S
Centromere	111	9638	Unplaced contigs	centromere
Plastid	2	9638	Unplaced contigs	chloroplast
Transposable element	9	9638	Unplaced contigs	ClassI_LTR
Mitochondria	10	9638	Unplaced contigs	mitochondria
Other repeat	3	9638	Unplaced contigs	repeat_region
Telomere	4	9638	Unplaced contigs	telomere
None	14	9638	Unplaced contigs	NA
45S rDNA	28	9728	Unplaced contigs	45S
5S rDNA	41	9728	Unplaced contigs	5S
Centromere	107	9728	Unplaced contigs	centromere
Plastid	22	9728	Unplaced contigs	chloroplast
Transposable element	10	9728	Unplaced contigs	ClassI_LTR
Transposable element	3	9728	Unplaced contigs	ClassII_Helitrons
Transposable element	4	9728	Unplaced contigs	ClassII_TIR
Mitochondria	10	9728	Unplaced contigs	mitochondria
Other repeat	7	9728	Unplaced contigs	repeat_region
Telomere	4	9728	Unplaced contigs	telomere
None	68	9728	Unplaced contigs	NA
45S rDNA	9	9764	Unplaced contigs	45S
5S rDNA	11	9764	Unplaced contigs	5S
