group	AraportID	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed.S	N_acc_where_expressed.R	N_acc_where_expressed.F	N_acc_where_expressed.P
AT1SG10003098	NA	FALSE	FALSE	FALSE	FALSE	TRUE	9	15	14	0
AT1SG10003100	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	0	0
AT1SG10003106	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	0	1	0
AT1SG10003107	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003119	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003120	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003126	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10003129	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	4	2	2
AT1SG10003130	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	0	0	0
AT1SG10003148	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	3	3	3
AT1SG10003149	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	3	3	3
AT1SG10003150	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003151	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1	1	1
AT1SG10003154	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003157	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	1	1	1
AT1SG10003158	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0	0	0
AT1SG10003161	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	1	0	0
AT1SG10003168	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10003173	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	1	0
AT1SG10003195	NA	TRUE	FALSE	TRUE	FALSE	FALSE	5	4	5	0
